Name,Rating,Reviews,Type,Employe,Sector,Old
Kokuyo Camlin,4.1,255,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Shyam Sel & Power,3.9,252,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Joyalukkas,4.1,258,Banking,1 Lakh+ Employees,Public,30 years old
Veeda Clinical Research,4.1,257,Banking,1 Lakh+ Employees,Public,30 years old
Paragon Digital Services,3.4,257,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
METRO Global Solutions Center,4.1,256,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
ClearTax,3.3,256,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Jetking Infotrain,3.7,256,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Valvoline Cummins,4.1,256,Banking,50k-1 Lakh Employees,Public,31 years old
Zeetech Management And Marketing,4.4,256,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
RDC Concrete (India),4.1,255,BPO,50k-1 Lakh Employees,Public,41 years old
Evolent Health International,3.9,255,Telecom,50k-1 Lakh Employees,Public,17 years old
Easyday Club,4.5,254,Internet,1 Lakh+ Employees,Public,30 years old
Somic ZF Components,4.3,253,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
ZF Friedrichshafen,4.0,258,Retail,1 Lakh+ Employees,NaN,NaN
Dixit Infotech Services,4.1,256,NBFC,1 Lakh+ Employees,NaN,NaN
Clix Capital Services,4.0,256,Engineering & Construction,10k-50k Employees,Public,86 years old
Netafim Irrigation India,4.2,255,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Mirza International,3.8,255,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Flyjac Logistics,4.3,255,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
McNROE,4.0,255,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Concord Biotech,3.7,255,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Virchow Biotech,3.4,254,Banking,1 Lakh+ Employees,Public,30 years old
Orix Auto Infrastructure Services,4.4,254,Banking,1 Lakh+ Employees,Public,30 years old
KOREA PLANT SERVICE AND ENGINEERING,3.6,254,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Finova Capital,4.0,254,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Xanadu,3.4,259,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Carraro,4.0,257,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
ServiceNow,4.0,257,Banking,50k-1 Lakh Employees,Public,31 years old
International Automotive Components,3.9,255,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Technicolor,4.0,255,BPO,50k-1 Lakh Employees,Public,41 years old
Reliance Fresh,4.3,255,Telecom,50k-1 Lakh Employees,Public,17 years old
Electrical Research & Development Association,4.0,255,Internet,1 Lakh+ Employees,Public,30 years old
Parul University,3.7,254,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Imarque Solutions,3.5,254,Retail,1 Lakh+ Employees,NaN,NaN
Examity,3.3,254,NBFC,1 Lakh+ Employees,NaN,NaN
Mitsubishi Electric Automotive India,4.6,254,Engineering & Construction,10k-50k Employees,Public,86 years old
Spice Money,4.0,254,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
McAfee,4.0,253,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
New Opportunity Consultancy,4.3,253,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Mars,3.8,253,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Banco Products,3.6,252,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Annalect,4.0,257,Banking,1 Lakh+ Employees,Public,30 years old
MAQ Software,2.3,256,Banking,1 Lakh+ Employees,Public,30 years old
SiliconIndia,2.6,255,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Stanley Black & Decker,4.0,255,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Infocepts Technologies,3.4,255,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Manhattan Associates,3.9,254,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
Centre For Sight,4.0,254,Banking,50k-1 Lakh Employees,Public,31 years old
Helloverify,3.1,254,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
eNoah iSolution,3.9,254,BPO,50k-1 Lakh Employees,Public,41 years old
Sri Aurobindo Society,3.4,254,Telecom,50k-1 Lakh Employees,Public,17 years old
Rheinmetall Automotive,4.0,253,Internet,1 Lakh+ Employees,Public,30 years old
Cimpress,4.0,253,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Unitech,3.9,253,Retail,1 Lakh+ Employees,NaN,NaN
Yara Fertilisers,4.1,253,NBFC,1 Lakh+ Employees,NaN,NaN
GM Modular,4.0,253,Engineering & Construction,10k-50k Employees,Public,86 years old
Sigma Engineered Solutions,4.2,253,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Wartsila,4.5,247,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Vedant Fashions,4.0,254,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Onsitego,4.1,254,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Aabasoft,4.3,254,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
Gyproc,4.1,253,Banking,1 Lakh+ Employees,Public,30 years old
Fosroc India,4.4,253,Banking,1 Lakh+ Employees,Public,30 years old
Cheil India,3.2,253,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Subway,4.3,252,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Oberoi Realty,3.9,252,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
